country,region,income,gdp,population,msw,e_waste,medical,hazard,plastic,metal,glass
Senegal,SSF,Low,3067.66259765625,15411614,0.15923440919296317,0.0009732919602061146,,,9.0,2.0,2.0
Singapore,EAS,High,97341.46875,5703600,0.32786310400448837,0.01753278631040045,,0.07834876218528648,10.58,19.12,0.93
Solomon Islands,EAS,Lower Middle,2596.452880859375,563513,0.319375,0.0007098327811425823,0.0004850642309937836,,22.35,13.15,6.65
Sierra Leone,SSF,Low,1237.6302490234375,5439695,0.11217946778266061,0.0006250350433250393,,,,,
El Salvador,LCN,Lower Middle,7328.71337890625,6164626,0.2674933045411027,0.004882696857846688,,0.0026708838459948746,10.0,2.0,4.0
San Marino,ECS,High,58806.19921875,33203,0.5172628979309098,,,,5.6,0.9,5.61
Somalia,SSF,Low,1862.6141357421875,14317996,0.1624598281770717,,,,,,
Serbia,ECS,Upper Middle,18351.2734375,6944975,0.33799999280055004,0.00207171372107171,0.004735510207020184,1.9402555084791522,12.73,1.38,5.44
South Sudan,SSF,Low,1795.991943359375,11177490,0.2398285303766767,,,,,,
São Tomé and Príncipe,SSF,Lower Middle,3720.786865234375,191266,0.1337744293287882,0.0010456641535871508,,,,,
Suriname,LCN,Upper Middle,16953.802734375,526103,0.14943803618302878,0.00950384240348373,0.0024143561241810065,,11.0,3.0,3.0
Slovak Republic,ECS,High,31965.76171875,5454073,0.42100000311693664,0.005667507567280452,0.10241978792729764,0.06888209967119985,11.0,2.0,19.0
Slovenia,ECS,High,39037.93359375,2087946,0.5039999837160539,0.012624368637886229,0.1091374010630543,0.07434531352822343,,,
Sweden,ECS,High,52608.7109375,10285453,0.4490000100141433,0.07016424069994778,0.12786097024603582,0.2496879816572007,6.58,9.2,9.15
Eswatini,SSF,Lower Middle,8321.1064453125,1343098,0.16245982795000813,0.004243919654410922,,,,,
Sint Maarten (Dutch part),LCN,High,,37685,,,,,13.0,7.0,7.0
Seychelles,SSF,High,23302.953125,88303,0.5435828907285143,0.012457107912528452,,,9.9,4.6,5.2
Syrian Arab Republic,MEA,Low,8587.05078125,20824892,0.21608755521997425,,0.00022088950089152923,0.0032653230566573885,7.0,4.0,3.0
Turks and Caicos Islands,LCN,High,28174.482421875,34900,,,,,16.3,7.6,20.5
Chad,SSF,Low,1732.6912841796875,11887202,0.1143120584642206,0.0007402919543219674,,,6.0,2.0,1.0
Togo,SSF,Low,1404.1329345703125,7228915,0.1534158929797902,0.0008853334144888963,,0.0002628333574263911,10.0,4.0,2.0
Thailand,EAS,Upper Middle,16301.5380859375,68657600,0.39112007993288433,0.005596365151126751,0.0007845890331150521,0.0501765281629419,17.59,1.85,3.04
Tajikistan,ECS,Low,2616.4755859375,8177809,0.2185671003076741,,,,,,
Turkmenistan,ECS,Upper Middle,11471.1865234375,5366277,0.09317446713988115,0.004099676554154771,,0.0001863489342797623,2.19,11.44,4.64
Timor-Leste,EAS,Lower Middle,3344.57373046875,1268671,0.05034796255293926,0.0028376151106157548,4.229622967656705e-05,,16.5,10.0,5.5
Tonga,EAS,Upper Middle,5636.41845703125,104951,0.16425,0.002858476812988919,0.0009740736153061905,,13.4,9.0,5.9
Trinidad and Tobago,LCN,High,28910.908203125,1328100,0.548056622242301,5.3512536706573294e-05,0.00018880581281530004,0.0933017845041789,19.17,3.74,10.15
Tunisia,MEA,Lower Middle,10505.2626953125,11143908,0.2422848429832694,0.008076161432775647,0.0014357620324934484,0.013460269054626078,11.0,4.0,2.0
Turkey,ECS,Upper Middle,28289.087890625,83429616,0.4239999858083969,0.007467372257832279,,0.041141577350661665,3.0,1.0,2.0
Tuvalu,EAS,Upper Middle,3793.127685546875,11097,0.35951036316121476,0.0009011444534558889,0.0005154546273767685,,16.5,10.0,5.5
,EAS,High,57362.92578125,23434000,0.3130494153793633,0.000598958777844158,,,20.23,3.07,4.11
Tanzania,SSF,Low,2128.553955078125,49082996,0.18900629048805415,0.0007741988691969822,,,,,
Uganda,SSF,Low,1972.3017578125,35093648,0.20075,0.0007123796306385703,,,7.6,0.6,0.8
Ukraine,ECS,Lower Middle,11534.6376953125,45004644,0.338676715229655,0.006154920367773601,,9.954528248240337,7.0,4.0,5.0
Uruguay,LCN,High,20588.392578125,3431552,0.36722145217382696,0.010782293259726211,,,11.0,5.0,3.0
United States,NAC,High,61498.37109375,326687488,0.8118600734411965,0.0074689116958161555,0.007958676397181149,0.08815764624569888,12.9,9.0,4.4
Uzbekistan,ECS,Lower Middle,5164.2744140625,29774500,0.134343145980621,,,,2.5,2.0,3.0
St. Vincent and the Grenadines,LCN,Upper Middle,11971.9931640625,109455,0.28835,0.008222557215293956,,,8.4,3.8,5.6
"Venezuela, RB",LCN,Upper Middle,14269.673828125,29893080,0.3271356829072147,0.007784410304993664,,0.0041199167165109785,,,
British Virgin Islands,LCN,High,24215.8828125,20645,1.022,,,,6.3,8.6,18.1
Virgin Islands (U.S.),LCN,High,30436.564453125,105784,1.3848975270362247,,,,13.0,7.0,7.0
Vietnam,EAS,Lower Middle,5089.4111328125,86932496,0.11008886711362803,0.0016219481377826768,0.002300635656429329,0.034453784692895506,12.15,0.58,2.18
Vanuatu,EAS,Lower Middle,3061.787353515625,270402,0.25970772775349293,0.0011094592495617635,0.0005144192720468044,,6.45,3.8,5.4
Samoa,EAS,Upper Middle,6210.9833984375,187665,0.146,0.0026643220632510058,0.0001925771987317827,,13.0,8.8,2.2
Kosovo,ECS,Lower Middle,9723.5615234375,1801800,0.17704517704517705,1.2765012765012765e-05,0.00046287046287046287,0.0002747252747252747,11.0,6.0,6.0
"Yemen, Rep.",MEA,Low,8269.671875,27584212,0.17534740524761047,0.0015226101075499275,,0.0007613050537749637,10.0,6.0,1.0
South Africa,SSF,Upper Middle,12666.607421875,51729344,0.35680390611564683,0.006205375424826574,,0.025499956079087335,7.090104301663434,16.9104608968452,5.200216370472019
Zambia,SSF,Lower Middle,3201.289306640625,14264756,0.18284701119318128,0.0010515426972602967,,0.005608227718721582,,,
